problem,parameter,value,fitnessMean,fitnessStd,timeMean,timeStd,convergenceGenMean,totalGenerationsMean
SubsetSum,chromosomSize,10,0.5,0.0,0.042328109999994014,0.0006175756510983309,0,41
SubsetSum,chromosomSize,20,1.0,0.0,0.05697021000000859,0.002312054337374975,1.6,42.6
SubsetSum,chromosomSize,40,1.0,0.0,0.08264892000004238,0.004185377548532528,1.3,42.3
SubsetSum,chromosomSize,60,1.0,0.0,0.10605147000005673,0.0026187684593959436,0.8,41.8
SubsetSum,populationSize,30,1.0,0.0,0.01468719000006331,0.0011280292978906932,3.9,44.9
SubsetSum,populationSize,100,1.0,0.0,0.04487021000002187,0.0020789383673277275,1.4,42.4
SubsetSum,populationSize,300,1.0,0.0,0.13689563999994334,0.004708455042817481,0,41
SubsetSum,populationSize,600,1.0,0.0,0.2822728500000039,0.0109231162135195,0,41
SubsetSum,initMethod,random,1.0,0.0,0.06861689000002116,0.0029030924110306903,0.9,41.9
SubsetSum,initMethod,heuristic,1.0,0.0,0.07745118999994247,0.01093620870800679,0,41
SubsetSum,selectionType,roulette,1.0,0.0,0.19541153000000122,0.019097769327355477,0.6,41.6
SubsetSum,selectionType,ranking,1.0,0.0,0.2789686099999926,0.028536609899628054,0.6,41.6
SubsetSum,selectionType,tournament,1.0,0.0,0.06725793000000521,0.002635632465657887,1.3,42.3
SubsetSum,tournamentSize,2,1.0,0.0,0.06461647000003268,0.003417822416945492,1.2,42.2
SubsetSum,tournamentSize,5,1.0,0.0,0.07032325999996374,0.0021366791636967353,0.6,41.6
SubsetSum,tournamentSize,10,1.0,0.0,0.08372637000002214,0.0050012170506633724,1,42
SubsetSum,tournamentSize,20,1.0,0.0,0.11001790000000256,0.009665935793760714,0.5,41.5
SubsetSum,crossoverProb,0.5,1.0,0.0,0.07709019999999782,0.006093745980984723,0.8,41.8
SubsetSum,crossoverProb,0.7,1.0,0.0,0.07216507000000547,0.00480633891443494,0.8,41.8
SubsetSum,crossoverProb,0.9,1.0,0.0,0.06290153000002192,0.0014549113355342147,0.3,41.3
SubsetSum,crossoverType,onePoint,1.0,0.0,0.075833230000012,0.007224216604102511,0.7,41.7
SubsetSum,crossoverType,twoPoint,1.0,0.0,0.08795614999996815,0.010630884180161441,1,42
SubsetSum,crossoverType,uniform,1.0,0.0,0.0824316700000054,0.012064850695330014,0.8,41.8
SubsetSum,mutationProb,0.01,1.0,0.0,0.0765043900000137,0.007288874138423329,1,42
SubsetSum,mutationProb,0.05,1.0,0.0,0.07443381000002773,0.004290543507158643,0.8,41.8
SubsetSum,mutationProb,0.1,1.0,0.0,0.07035163000000466,0.0032049422571868193,0.7,41.7
SubsetSum,mutationProb,0.2,1.0,0.0,0.07204166999997597,0.0071855162185277075,0.7,41.7
SubsetSum,mutationType,bitFlip,1.0,0.0,0.07336758999999801,0.005402559600149464,0.9,41.9
SubsetSum,mutationType,swap,1.0,0.0,0.06979326999999103,0.0017704500936742108,0.5,41.5
SubsetSum,elitismNum,1,1.0,0.0,0.06688306000000921,0.001994818526152762,1,42
SubsetSum,elitismNum,5,1.0,0.0,0.06700866999999562,0.0026533559640613807,0.8,41.8
SubsetSum,elitismNum,10,1.0,0.0,0.0667652500000031,0.0021768823933952927,0.4,41.4
SubsetSum,elitismNum,20,1.0,0.0,0.06612201000000369,0.0012676317489462051,0.6,41.6
SubsetSum,generations,50,1.0,0.0,0.06628209000002698,0.002495014953603982,0.8,41.8
SubsetSum,generations,150,1.0,0.0,0.06633292000003621,0.0015532477649920931,0.5,41.5
