GA comparative study
Each GA configuration repeated 10 times (mean +/- std shown)

--- SubsetSum: parameter sweep ---
SubsetSum    | chromosomSize    = 10         | fitness=0.500+/-0.000 | gen=0.0/41.0 | time=0.042s+/-0.001s
SubsetSum    | chromosomSize    = 20         | fitness=1.000+/-0.000 | gen=1.6/42.6 | time=0.057s+/-0.002s
SubsetSum    | chromosomSize    = 40         | fitness=1.000+/-0.000 | gen=1.3/42.3 | time=0.083s+/-0.004s
SubsetSum    | chromosomSize    = 60         | fitness=1.000+/-0.000 | gen=0.8/41.8 | time=0.106s+/-0.003s
SubsetSum    | populationSize   = 30         | fitness=1.000+/-0.000 | gen=3.9/44.9 | time=0.015s+/-0.001s
SubsetSum    | populationSize   = 100        | fitness=1.000+/-0.000 | gen=1.4/42.4 | time=0.045s+/-0.002s
SubsetSum    | populationSize   = 300        | fitness=1.000+/-0.000 | gen=0.0/41.0 | time=0.137s+/-0.005s
SubsetSum    | populationSize   = 600        | fitness=1.000+/-0.000 | gen=0.0/41.0 | time=0.282s+/-0.011s
SubsetSum    | initMethod       = random     | fitness=1.000+/-0.000 | gen=0.9/41.9 | time=0.069s+/-0.003s
SubsetSum    | initMethod       = heuristic  | fitness=1.000+/-0.000 | gen=0.0/41.0 | time=0.077s+/-0.011s
SubsetSum    | selectionType    = roulette   | fitness=1.000+/-0.000 | gen=0.6/41.6 | time=0.195s+/-0.019s
SubsetSum    | selectionType    = ranking    | fitness=1.000+/-0.000 | gen=0.6/41.6 | time=0.279s+/-0.029s
SubsetSum    | selectionType    = tournament | fitness=1.000+/-0.000 | gen=1.3/42.3 | time=0.067s+/-0.003s
SubsetSum    | tournamentSize   = 2          | fitness=1.000+/-0.000 | gen=1.2/42.2 | time=0.065s+/-0.003s
SubsetSum    | tournamentSize   = 5          | fitness=1.000+/-0.000 | gen=0.6/41.6 | time=0.070s+/-0.002s
SubsetSum    | tournamentSize   = 10         | fitness=1.000+/-0.000 | gen=1.0/42.0 | time=0.084s+/-0.005s
SubsetSum    | tournamentSize   = 20         | fitness=1.000+/-0.000 | gen=0.5/41.5 | time=0.110s+/-0.010s
SubsetSum    | crossoverProb    = 0.5        | fitness=1.000+/-0.000 | gen=0.8/41.8 | time=0.077s+/-0.006s
SubsetSum    | crossoverProb    = 0.7        | fitness=1.000+/-0.000 | gen=0.8/41.8 | time=0.072s+/-0.005s
SubsetSum    | crossoverProb    = 0.9        | fitness=1.000+/-0.000 | gen=0.3/41.3 | time=0.063s+/-0.001s
SubsetSum    | crossoverType    = onePoint   | fitness=1.000+/-0.000 | gen=0.7/41.7 | time=0.076s+/-0.007s
SubsetSum    | crossoverType    = twoPoint   | fitness=1.000+/-0.000 | gen=1.0/42.0 | time=0.088s+/-0.011s
SubsetSum    | crossoverType    = uniform    | fitness=1.000+/-0.000 | gen=0.8/41.8 | time=0.082s+/-0.012s
SubsetSum    | mutationProb     = 0.01       | fitness=1.000+/-0.000 | gen=1.0/42.0 | time=0.077s+/-0.007s
SubsetSum    | mutationProb     = 0.05       | fitness=1.000+/-0.000 | gen=0.8/41.8 | time=0.074s+/-0.004s
SubsetSum    | mutationProb     = 0.1        | fitness=1.000+/-0.000 | gen=0.7/41.7 | time=0.070s+/-0.003s
SubsetSum    | mutationProb     = 0.2        | fitness=1.000+/-0.000 | gen=0.7/41.7 | time=0.072s+/-0.007s
