problem,method,size,fitness,time
SubsetSum,recursive,10,175,0.003893699999935052
SubsetSum,dpTopDown,10,175,0.0002601999999569671
SubsetSum,bottomUp,10,175,0.00048240000000987493
SubsetSum,GA,10,1.0,0.04141943000001902
SubsetSum,recursive,15,258,0.0004357999998774176
SubsetSum,dpTopDown,15,258,0.0004035999997995532
SubsetSum,bottomUp,15,258,0.0005929999999807478
SubsetSum,GA,15,1.0,0.04874014000001807
SubsetSum,recursive,18,288,0.0004048999999213265
SubsetSum,dpTopDown,18,288,0.0002764000000752276
SubsetSum,bottomUp,18,288,0.0005948000000444154
SubsetSum,GA,18,1.0,0.05140205000002425
SubsetSum,recursive,20,271,0.0004397000000153639
SubsetSum,dpTopDown,20,271,0.00044079999997848063
SubsetSum,bottomUp,20,271,0.0005915000001550652
SubsetSum,GA,20,1.0,0.054025560000013684
SubsetSum,recursive,22,320,0.000514500000008411
SubsetSum,dpTopDown,22,320,0.00027880000016011763
SubsetSum,bottomUp,22,320,0.0007917999998880987
SubsetSum,GA,22,1.0,0.05624015999999301
SubsetSum,recursive,24,315,0.0004344999999830179
SubsetSum,dpTopDown,24,315,0.0003293999998277286
SubsetSum,bottomUp,24,315,0.0007774000000608794
SubsetSum,GA,24,1.0,0.05844147000002522
Partition,recursive,10,1,0.00042940000003000023
Partition,dpTopDown,10,1,0.0005659999999352294
Partition,bottomUp,10,1,0.0003991999999470863
Partition,GA,10,1.0,0.042034079999984895
Partition,recursive,15,1,0.0005071000000498316
Partition,dpTopDown,15,1,0.0007861999999931868
Partition,bottomUp,15,1,0.0004811999999674299
Partition,GA,15,1.0,0.047801279999998766
Partition,recursive,18,0,0.00044189999994159734
Partition,dpTopDown,18,0,0.0003074999999626016
Partition,bottomUp,18,0,0.00028029999998580024
Partition,GA,18,0.5,0.05287487000002784
Partition,recursive,20,1,0.0006260000000111177
Partition,dpTopDown,20,1,0.0011176999998951942
Partition,bottomUp,20,1,0.0006658999998307991
Partition,GA,20,1.0,0.05676715000004151
Partition,recursive,22,1,0.000882699999920078
Partition,dpTopDown,22,1,0.001375100000132079
Partition,bottomUp,22,1,0.0008869000000686356
Partition,GA,22,1.0,0.06357066999996733
Partition,recursive,24,1,0.0013241000001471548
Partition,dpTopDown,24,1,0.0015017000000625558
Partition,bottomUp,24,1,0.0010465999998814368
Partition,GA,24,1.0,0.06300852000003943
BinPacking,recursive,8,3,0.0010425999998915358
BinPacking,dpTopDown,8,3,0.0011790999999448104
BinPacking,bottomUp,8,3,0.0008264999999028078
BinPacking,GA,8,1.3333333333333333,0.06828886000000693
BinPacking,recursive,10,3,0.015909599999986312
BinPacking,dpTopDown,10,3,0.029460300000209827
BinPacking,bottomUp,10,3,0.011075300000129573
BinPacking,GA,10,1.3333333333333333,0.07664222999994763
BinPacking,recursive,12,4,0.28274790000000394
BinPacking,dpTopDown,12,4,0.5405549999998129
BinPacking,bottomUp,12,4,0.09950870000011491
BinPacking,GA,12,1.25,0.08444104000002425
BinPacking,recursive,14,4,12.805960600000162
BinPacking,dpTopDown,14,4,26.961449499999844
BinPacking,bottomUp,14,4,0.9428548000000774
BinPacking,GA,14,1.225,0.09945908000001964
BinPacking,recursive,16,5,509.49048029999994
BinPacking,bottomUp,16,5,41.61410870000009
BinPacking,GA,16,1.2,0.6455110600000353
BinPacking,bottomUp,18,7,341.74489540000013
BinPacking,GA,18,1.1410714285714285,0.6661142299999938
BinPacking,GA,20,1.1303571428571428,0.9941095099999984
Knapsack,recursive,10,491,0.06035820000033709
Knapsack,dpTopDown,10,491,0.05806979999942996
Knapsack,bottomUp,10,491,0.036464100000557664
Knapsack,GA,10,492,0.5958265400000528
Knapsack,recursive,14,705,0.07273609999992914
Knapsack,dpTopDown,14,705,0.057621199999630335
Knapsack,bottomUp,14,705,0.0328786999998556
Knapsack,GA,14,706,0.7654533499999161
Knapsack,recursive,18,842,0.2851479000000836
Knapsack,dpTopDown,18,842,0.07362360000024637
Knapsack,bottomUp,18,842,0.07807890000003681
Knapsack,GA,18,843,0.9925659900000028
Knapsack,recursive,20,1002,1.3046383000000787
Knapsack,dpTopDown,20,1002,0.052374199999576376
Knapsack,bottomUp,20,1002,0.06267180000031658
Knapsack,GA,20,1003,0.8064262199998666
Knapsack,recursive,22,1253,5.686946499999976
Knapsack,dpTopDown,22,1253,0.05916630000047007
Knapsack,bottomUp,22,1253,0.04183089999969525
Knapsack,GA,22,1254,0.8016682000000401
Knapsack,recursive,24,1432,19.916534899999533
Knapsack,dpTopDown,24,1432,0.07096929999988788
Knapsack,bottomUp,24,1432,0.5529742999997325
Knapsack,GA,24,1433,0.9400534099999277
